,id,description,photo,article,name,price,sku
258,4604145,"НОВИНКА!!!
Уютный шазюбль из трикотажной буклированной ткани. Модель с шалевым воротником и спущенной линией плеча. Имеются вместительные накладные карманы и пояс на шлевках. Можно носить свободно, без пояса, застежка на 2 кнопках. Для удобства ходьбы есть разрезы по боковым швам. Комплектуется с платьями, брючками, юбками. 
Состав: 100% акрил",https://sun9-61.userapi.com/c857724/v857724850/17807d/BBTwIg9esuI.jpg,,"Шазюбль из итальянского трикотажного букле, черный Арт. 4162",7900.0,
259,4604144,"НОВИНКА!!!
Платье из двух тканей, соединенных между собой необычным, очень стильным  выступающим швом. Цельновыкроенные рукава и воротник стойка. По спинке - средний шов без шлицы.
Состав:
 Ткань переда:
35% - вискоза
60% - ПЭ
5% - спандекс
 Ткань спинки:
70% - вискоза
25% - полиамид
5% - полиуретан ",https://sun9-15.userapi.com/c858336/v858336850/1748ac/thhF1QvkuaE.jpg,,"Платье с цельнокроеными рукавами, трикотаж Армани в сочетании с бежевым жаккардом Арт. 4164",5300.0,
260,4604143,"НОВИНКА!!!
Сумасшедшей красоты и оригинальности пальто на прохладный сезон. На основу из жаккардового драпа в полоску настрочен накладной лиф из итальянского нарядного жаккарда... Казалось бы - несочетаемые ткани, но результат превзошел самые смелые ожидания! Пальто идеально окантовано, браво мастерицам! Модель со свободным рукавом, спущенным плечом, Карманы накладные, закругленные разрезы по бокам.
Состав:
95% - ПЭ
5% - эластан
Отделочная ткань:
41% - полиакрил
49% - ПЭ
10% - нейлон",https://sun9-64.userapi.com/c858120/v858120850/17a491/xSum8Nn9Gmw.jpg,,"Пальто деми легкое,  комбинированное из 2-х тканей с окантовкой Арт. 4169",16000.0,
261,4604142,"НОВИНКА!!!
Платье француженки - сдержанный фасон, подчеркивающий достоинства, и ничего лишнего! Плотный черный вискозный трикотаж, облегающий фигуру, но сдерживающий лишнее. Рукава реглан, круглый мягкий вырез. Расклешенная форма юбки достигается за счет рельефов в средних и боковых швах, швы создают великолепные фалды.
Состав:
70% - вискоза
30% - полиамид",https://sun9-28.userapi.com/GqB01_jOnuHH2r9SWH3dgSJl5RwECd20WADJyg/ZuHlKX-sNDk.jpg,,"Платье прилегающего силуэта, расширенное к низу, плотный трикотаж, черный Арт. 4161",7000.0,
262,4604141,"НОВИНКА!!!
Изумительное демисезонное пальто из тканей, идеально сочетающихся между собой по цвету. Нежные тона для очень романтичных натур. 
Рукава цельнокроенные, с ластовицами; пальто без ворота, супатная застежка, в среднем спинки шве есть шлица. Манжет при желании можно отгибать, внутри рукавов - серая ткань, что делает пальто еще более практичным. 
Состав: 100% ПЭ
Подклад:
50% - вискоза
50% - ПЭ",https://sun9-20.userapi.com/c858432/v858432850/172d4a/rUmHIgwLVA0.jpg,,"Полупальто демисезонное с цельнокроеными рукавами и ластовицей, двух цветов Арт. 4175",10000.0,
263,4604137,"НОВИНКА!!!
Свободный длинный джемпер из серии спорт-шик из х/б футера с игривым, но в то же время не броским рисунком в виде звезд. Высокий ворот - цельнокроеная стойка, рукава полуреглан, контрастная отделка по швам, карманы в боковых швах, разрезы по бокам. Спинка немного длиннее переда.
Состав:
95% - хлопок
5% - эластан",https://sun9-47.userapi.com/c857328/v857328850/e0421/KQEf7iYapDU.jpg,,"Джемпер-туника ""Звезды"" с отделочными строчками и разрезами, синий Арт. 4168",3500.0,
264,4604136,"НОВИНКА!!!
Трикотажный очень свободный джемпер-туника. Модель просто невесомая, комфортная. Оригинальный двойной воротник с драпировкой, все швы оформлены красивой строчкой. Сочетается и с брючками, и с юбками. 

Возможно исполнение в 4-х расцветках - темно-серая, светло-серая, сине-серая, желто-тыквенная.",https://sun9-16.userapi.com/c855036/v855036850/1fb3f4/qShiaGUUeOQ.jpg,,"Джемпер с закрученными срезами, светло-серая ангора Арт. 4158",3600.0,
265,4604134,"НОВИНКА!!!

И опять спорт-шик! Очень теплый и легкий джемпер для прогулок из трикотажного эко-меха, на подкладке из трикотажной вискозы. Комплектуется брючками, джинсами, спортивными юбками.
Состав: 100% - ПЭ
Отделка:
73% - вискоза
22% - нейлон
5% - спандекс
Подклад:
94% - хлопок
6% - лайкра",https://sun9-6.userapi.com/4rJUE2BoHpxA2V8ivQBFZoUc5xbQ5SmfQObBbQ/q7i3fAHWz7E.jpg,,Джемпер из кораллового экомеха с контрастной отделкой на подкладе Арт. 4156,4500.0,
266,4604133,"НОВИНКА!!!
Джемпер-жилет непередаваемо красивого, редкого василькового цвета. Открытые резы, широкие проймы. Очень-очень плотный вискозный трикотаж. Для смелых и дерзких натур. Можно надеть с узким черным платьем, с брючками, с джинсами, с узкой юбкой в цвет или с контрастной. Жилет станет просто ярчайшим акцентом наряда!

Состав:
60% - вискоза
35% - ПЭ
5% - спандекс",https://sun9-72.userapi.com/F8pc6c-123n7pxPbatko4F0tB5-4X3GTtVsKPw/RozxW9ZlDCY.jpg,,"Джемпер-жилет с открытыми срезами, трикотаж вискоза васильковый Арт. 4167",3500.0,
267,4604129,"НОВИНКА!!!
Куртка-бомбер из трикотажного жаккардового драпа в полоску... казалось бы - обычная драповая куртка? Как бы не так!!! Современный крой, удлиненный силуэт, оригинальные карманы, застёжка на молнию - и перед вами незаменимая в наши странные сезоны вещь! Бомбер на подкладе. Отлично смотрится как с узкими, так и с широкими брючками, с кюлотами, с длинными и короткими юбками, с платьями.
Состав:
95% - ПЭ
5% - эластан
Подклад:
50% - вискоза
50% - ПЭ",https://sun9-59.userapi.com/c857528/v857528850/180887/2-JRMAI2tb0.jpg,,"Бомбер удлиненный на молнии с накладными карманами, жаккардовый драп с полоску Арт. 4153",9000.0,
268,4604127,"НОВИНКА!!!
Необыкновенно легкое, свободное, стильное полупальто, манто, бомбер... Трудно выбрать точное название этой модели. Уютное и очень красивое, стильное и теплое - просто восхищение! Ручной работы подвязы, цельнокроеные рукава, карманы прорезные с листочками вертикальные, высокий воротник, застёжка на кнопки. Изделие на подкладе.
Состав:
70% - шерсть
12% - лен
18% - полиамид
Подклад:
55% - вискоза
45 - ПЭ",https://sun9-8.userapi.com/c858232/v858232850/180ef8/TGohE_yn0zk.jpg,,"Полупальто-бомбер  из итальянского шерстяного букле, бордовый меланж Арт. 4173",14000.0,
269,4604126,"НОВИНКА!!!

Состав: 100% ПЭ
Подклад:
50% - вискоза
50% - ПЭ",https://sun9-21.userapi.com/c858436/v858436850/176f1b/3_jSIVF7De4.jpg,,"Полупальто стеганое, малый ромб лиловое Арт. 4163",9000.0,
270,4604123,"НОВИНКА!!!
Люксовый жилет точно выполнен в традициях дома Шанель. Изумительный подбор отделки и великолепное исполнение изделия делает его изысканным предметом гардероба для искушенной модницы.
Жилет на подкладе, с высокими шлицами, отделан роскошной тесьмой, карманы накладные.
Состав:
40% - хлопок
30% - вискоза
20% - ПЭ
10% - шерсть
Подклад:
100% - вискоза",https://sun9-46.userapi.com/c855132/v855132850/1fb65c/trCr1QWENL0.jpg,,"Жилет на подкладе с накладными карманами  в стиле Шанель, букле Арт. 4166",11000.0,
271,4604117,"НОВИНКА!!!
Оригинальный предмет гардероба, который может пригодиться в самых неожиданных ситуациях! Эта вещь может мгновенно собрать цельный образ из, казалось бы, несочетаемых предметов... Не верите? Можно легко это проверить! Черная маечка, кружевная или атласная, а может трикотажная, с короткой юбкой...  Юные девушки могут использовать бандо... Однотонное маленькое платье любого цвета - лучше светлое... светлый брючный комплект... маленькое (любое) черное платье... атласный пижамный черный (любого цвета) костюм... И всё это дополнит наша волшебная рубашка!

Состав:
100% - ПЭ",https://sun9-13.userapi.com/BwWWFA7SQ5E-w6QOxY5f1ia49fBnsY9pAWVtlQ/IBRa2mzYnfc.jpg,,"Рубашка удлиненная из жаккардовой сетки с замшевыми карманами, черная Арт. 4165",4500.0,
