,id,description,photo,article,name,price
108,1363197,"Состав: нори, рис, тигровая креветка.
Вес: 110 гр.",https://sun9-6.userapi.com/c841321/v841321967/39191/0t1TFb-GBi4.jpg,,Классика с креветкой,110.0
109,1363195,"Состав: нори, рис, мясо угря, огурец, жареный кунжут.
Вес: 110 гр.",https://sun9-11.userapi.com/Fsz-Yla24ElRDUuBWuuGHUBX359bk9zX2rYB3w/Wp1Tli-DPog.jpg,,Классика с угрем,130.0
110,1363194,"Состав: нори, рис, тунец.
Вес: 110 гр.",https://sun9-33.userapi.com/c841638/v841638967/379b7/BDyAv_T3ofQ.jpg,,Классика с тунцом,110.0
111,1363193,"Состав: нори, рис, красный лосось.
Вес: 110 гр.",https://sun9-59.userapi.com/c639919/v639919967/612b2/-xlEAufkwhI.jpg,,Классика с лососем,110.0
112,1363189,"Состав: нори, рис, свежий огурец, жареный кунжут.
Вес: 110 гр.",https://sun9-33.userapi.com/c840429/v840429967/298d2/tNGv-pHau7o.jpg,,Классика с огурцом,77.0
113,1363185,"Состав: нори, рис, сыр творожный, тигровая креветка, соус Унаги, жареный кунжут.
Вес: 280 гр.",https://sun9-67.userapi.com/c849536/v849536820/103108/N2PkppJ6IR0.jpg,,Наго,219.0
114,1363184,"Состав: нори, рис, сыр творожный, лосось х/к, пекинская капуста.
Вес: 300 гр.",https://sun9-63.userapi.com/c851328/v851328149/8eb4f/KPZgQSaz_pM.jpg,,Техас,239.0
115,1363182,"Состав: нори, рис, густой майонез, икра тобико, жареный кунжут, копченная курица.
Вес: 280 гр.",https://sun9-39.userapi.com/c824701/v824701967/2b103/eC7XYU_XBTg.jpg,,Запеченный  с курицей,189.0
116,1363179,"Состав: мами нори, рис, сыр творожный, тигровая креветка, свежий огурец, пекинская капуста.
Вес: 200 гр.",https://sun9-31.userapi.com/zFt01zVQ1yWFD92lBRgCtAfsQX0uSXwZ-q7keQ/mvsRf8q65UY.jpg,,Киото,240.0
117,1363176,"Состав: нори, рис, сыр творожный, красный лосось, икра лосося.
Вес: 330 гр.",https://sun9-66.userapi.com/c841339/v841339967/3ca69/kjseiJcyr0k.jpg,,Майами люкс,289.0
118,1363175,"Состав: нори, рис, сыр творожный, красный лосось.
Вес: 300 гр.",https://sun9-61.userapi.com/c834400/v834400967/2b272/tOlDPlaglwA.jpg,,Майами,250.0
119,1363167,"Состав: нори, рис, сыр творожный, свежий огурец, красный лосось, мясо угря.
Вес: 320 гр.",https://sun9-14.userapi.com/c639516/v639516146/63ed5/TlJG_R8pt8U.jpg,,Сёгун,249.0
120,1363166,"Состав: нори, рис, свежий огурец, мясо угря, соус Спайси, стружка тунца.
Вес: 270 гр.",https://sun9-33.userapi.com/c840427/v840427146/244ea/Vsttwb96BYs.jpg,,Бонито,210.0
